player_id,full_name,team_name,position,gw_id,goals_scored,assists,clean_sheets,goals_conceded,expected_goals,expected_assists,expected_goals_conceded,total_points,season
554,José Malheiro de Sá,Wolves,Goalkeeper,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
556,Tom King,Wolves,Goalkeeper,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
559,Nélson Cabral Semedo,Wolves,Defender,4,0,0,0,1,0.01,0.09,0.75,1,2024_2025
560,Pedro Lomba Neto,Brighton,Midfielder,4,0,0,0,0,0.0,0.03,1.29,1,2024_2025
563,Rodrigo Martins Gomes,Wolves,Midfielder,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
564,Santiago Bueno,Wolves,Defender,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
565,Pablo Sarabia,Wolves,Midfielder,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
566,Jørgen Strand Larsen,Wolves,Forward,4,0,1,0,2,0.13,0.18,0.83,5,2024_2025
567,Toti António Gomes,Wolves,Defender,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
571,Sávio 'Savinho' Moreira de Oliveira,Man City,Midfielder,4,0,0,0,1,0.74,0.11,0.96,1,2024_2025
572,Leny Yoro,Man Utd,Defender,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
573,Nikola Milenković,Nott'm Forest,Defender,4,0,0,1,0,0.0,0.0,0.94,6,2024_2025
578,Riccardo Calafiori,Arsenal,Defender,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
579,Ryan Sessegnon,Everton,Defender,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
580,Dean Huijsen,Burnley,Defender,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
582,Jake O'Brien,Crystal Palace,Defender,4,0,0,0,1,0.0,0.0,0.72,0,2024_2025
585,Ismaïla Sarr,Chelsea,Midfielder,4,0,1,0,0,0.08,0.0,0.01,4,2024_2025
586,Jorge Cuenca Barreno,Everton,Defender,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
588,Guido Rodríguez,West Ham,Midfielder,4,0,0,0,1,0.0,0.01,0.86,1,2024_2025
589,Niclas Füllkrug,West Ham,Forward,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
590,William Osula,Newcastle,Forward,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
591,Jean-Clair Todibo,West Ham,Defender,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
592,Julián Araujo Zúñiga,Burnley,Defender,4,0,0,0,1,0.0,0.0,0.32,1,2024_2025
594,Noussair Mazraoui,Man Utd,Defender,4,0,0,1,0,0.12,0.34,1.12,6,2024_2025
595,Brajan Gruda,Brentford,Midfielder,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
596,João Pedro Ferreira Silva,Nott'm Forest,Midfielder,4,0,0,0,0,0.0,0.03,0.09,1,2024_2025
597,Myles Lewis-Skelly,Arsenal,Midfielder,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
600,Yasin Ayari,Brentford,Midfielder,4,0,0,1,0,0.08,0.3,0.35,3,2024_2025
604,Josh King,Everton,Midfielder,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
605,Martial Godo,Everton,Midfielder,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
607,Nico O'Reilly,Man City,Midfielder,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
608,Tyler Dibling,Sunderland,Midfielder,4,0,0,0,2,0.03,0.01,1.85,2,2024_2025
610,Mikey Moore,Spurs,Midfielder,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
611,Sam Szmodics,Fulham,Midfielder,4,0,0,0,0,0.0,0.0,1.22,1,2024_2025
612,Wilson Odobert,Spurs,Midfielder,4,0,0,0,0,0.02,0.02,0.0,1,2024_2025
617,Francisco Evanilson de Lima Barbosa,Burnley,Forward,4,0,0,1,0,0.91,0.08,0.47,0,2024_2025
619,Jens Cajuste,Fulham,Midfielder,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
622,Sander Berge,Everton,Midfielder,4,0,0,0,1,0.0,0.01,0.33,1,2024_2025
623,Mateus Gonçalo Espanha Fernandes,Sunderland,Midfielder,4,0,0,0,2,0.0,0.03,1.9,2,2024_2025
625,Ilkay Gündogan,Man City,Midfielder,4,0,0,0,1,0.08,0.16,0.96,2,2024_2025
629,Matt O'Riley,Brentford,Midfielder,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
630,Dara O'Shea,Fulham,Defender,4,0,0,1,0,0.06,0.0,1.66,7,2024_2025
631,Jack Clarke,Fulham,Midfielder,4,0,0,0,0,0.03,0.01,0.44,1,2024_2025
633,Mikel Merino,Arsenal,Midfielder,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
635,Bilal El Khannouss,Leeds,Midfielder,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
636,Federico Chiesa,Liverpool,Midfielder,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
642,André Trindade da Costa Neto,Wolves,Midfielder,4,0,0,0,1,0.0,0.01,0.75,1,2024_2025
645,Justin Devenny,Chelsea,Midfielder,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
650,Maxence Lacroix,Chelsea,Defender,4,0,0,0,2,0.0,0.04,1.23,1,2024_2025
652,Manuel Ugarte,Man Utd,Midfielder,4,0,0,0,0,0.0,0.0,0.0,1,2024_2025
654,Carlos Soler,West Ham,Midfielder,4,0,0,0,0,0.0,0.0,0.68,0,2024_2025
658,Ayden Heaven,Man Utd,Defender,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
4,Kai Havertz,Arsenal,Forward,5,0,0,0,2,0.06,0.0,2.16,2,2024_2025
7,Jorge Luiz Frello Filho,Arsenal,Midfielder,5,0,0,0,0,0.0,0.0,0.0,0,2024_2025
8,Jakub Kiwior,Arsenal,Defender,5,0,0,0,1,0.0,0.0,0.99,1,2024_2025
9,Gabriel Martinelli Silva,Arsenal,Midfielder,5,0,1,0,1,0.0,0.06,1.48,5,2024_2025
11,Eddie Nketiah,Chelsea,Forward,5,0,0,1,0,0.15,0.01,1.63,2,2024_2025
12,Ethan Nwaneri,Arsenal,Midfielder,5,0,0,0,0,0.0,0.0,0.0,0,2024_2025
13,Martin Ødegaard,Arsenal,Midfielder,5,0,0,0,0,0.0,0.0,0.0,0,2024_2025
14,Aaron Ramsdale,Sunderland,Goalkeeper,5,0,0,0,1,0.0,0.0,1.69,3,2024_2025
15,David Raya Martin,Arsenal,Goalkeeper,5,0,0,0,2,0.0,0.0,2.16,4,2024_2025
16,Declan Rice,Arsenal,Midfielder,5,0,0,0,2,0.0,0.01,2.16,1,2024_2025
17,Bukayo Saka,Arsenal,Midfielder,5,0,1,0,1,0.0,0.41,0.6,4,2024_2025
18,William Saliba,Arsenal,Defender,5,0,0,0,2,0.0,0.0,2.16,1,2024_2025
19,Emile Smith Rowe,Everton,Midfielder,5,1,0,0,1,0.41,0.02,1.24,8,2024_2025
20,Thomas Partey,Arsenal,Midfielder,5,0,0,0,2,0.0,0.02,2.16,1,2024_2025
21,Kieran Tierney,Arsenal,Defender,5,0,0,0,0,0.0,0.0,0.0,0,2024_2025
23,Leandro Trossard,Arsenal,Midfielder,5,0,0,0,2,0.08,0.0,0.6,-2,2024_2025
24,Benjamin White,Arsenal,Defender,5,0,0,0,1,0.0,0.0,1.56,1,2024_2025
25,Oleksandr Zinchenko,Arsenal,Defender,5,0,0,0,0,0.0,0.0,0.0,0,2024_2025
27,Cameron Archer,Sunderland,Forward,5,0,0,0,0,1.26,0.01,1.08,1,2024_2025
28,Leon Bailey,Aston Villa,Midfielder,5,0,0,0,0,0.07,0.33,0.0,1,2024_2025
29,Ross Barkley,Aston Villa,Midfielder,5,0,0,0,0,0.05,0.01,0.0,0,2024_2025
32,Matty Cash,Aston Villa,Defender,5,0,0,0,0,0.0,0.0,0.0,0,2024_2025
36,Lucas Digne,Aston Villa,Defender,5,0,0,0,1,0.0,0.01,0.51,1,2024_2025
42,Boubacar Kamara,Aston Villa,Midfielder,5,0,0,0,0,0.0,0.0,0.0,0,2024_2025
44,Ezri Konsa Ngoyo,Aston Villa,Defender,5,1,0,0,1,0.21,0.02,0.51,9,2024_2025
45,Ian Maatsen,Aston Villa,Defender,5,0,0,0,0,0.0,0.02,0.0,1,2024_2025
47,Emiliano Martínez Romero,Aston Villa,Goalkeeper,5,0,0,0,1,0.0,0.0,0.51,3,2024_2025
48,John McGinn,Aston Villa,Midfielder,5,0,0,0,1,0.03,0.19,0.51,1,2024_2025
49,Tyrone Mings,Aston Villa,Defender,5,0,0,0,0,0.0,0.0,0.0,0,2024_2025
51,Robin Olsen,Aston Villa,Goalkeeper,5,0,0,0,0,0.0,0.0,0.0,0,2024_2025
52,Pau Torres,Aston Villa,Defender,5,0,0,0,1,0.0,0.02,0.51,1,2024_2025
53,Jacob Ramsey,Aston Villa,Midfielder,5,0,0,0,1,0.0,0.03,0.51,2,2024_2025
54,Morgan Rogers,Aston Villa,Midfielder,5,0,2,0,1,0.0,0.6,0.51,10,2024_2025
57,Youri Tielemans,Aston Villa,Midfielder,5,0,1,0,1,0.0,0.38,0.51,5,2024_2025
58,Ollie Watkins,Aston Villa,Forward,5,1,0,0,1,0.34,0.06,0.51,6,2024_2025
60,Tyler Adams,Burnley,Midfielder,5,0,0,0,0,0.0,0.0,0.0,0,2024_2025
62,David Brooks,Burnley,Midfielder,5,0,0,0,0,0.0,0.0,0.0,0,2024_2025
64,Lewis Cook,Burnley,Midfielder,5,0,0,0,3,0.0,0.19,2.06,1,2024_2025
69,Daniel Jebbison,Burnley,Forward,5,0,0,0,0,0.0,0.0,0.0,0,2024_2025
70,Milos Kerkez,Burnley,Defender,5,0,0,0,3,0.01,0.09,2.06,1,2024_2025
71,Justin Kluivert,Burnley,Midfielder,5,0,0,0,3,0.14,0.0,1.1,0,2024_2025
77,Alex Scott,Burnley,Midfielder,5,0,0,0,0,0.1,0.02,0.4,1,2024_2025
78,Antoine Semenyo,Burnley,Midfielder,5,0,0,0,3,0.35,0.01,1.65,2,2024_2025
79,Marcos Senesi,Burnley,Defender,5,0,0,0,0,0.0,0.0,0.0,0,2024_2025
81,Adam Smith,Burnley,Defender,5,0,0,0,0,0.0,0.0,0.4,1,2024_2025
82,Dominic Solanke-Mitchell,Spurs,Forward,5,1,0,0,1,1.61,0.07,0.8,6,2024_2025
83,Marcus Tavernier,Burnley,Midfielder,5,0,0,0,3,0.02,0.07,2.06,2,2024_2025
85,Illia Zabarnyi,Burnley,Defender,5,0,0,0,3,0.0,0.01,2.06,1,2024_2025
86,Kristoffer Ajer,Bournemouth,Defender,5,0,0,0,2,0.0,0.01,3.01,0,2024_2025
88,Nathan Collins,Bournemouth,Defender,5,0,0,0,3,0.0,0.01,3.52,1,2024_2025
89,Mikkel Damsgaard,Bournemouth,Midfielder,5,0,0,0,2,0.09,0.03,3.01,2,2024_2025
91,Mark Flekken,Bournemouth,Goalkeeper,5,0,0,0,3,0.0,0.01,3.52,3,2024_2025
92,Rico Henry,Bournemouth,Defender,5,0,0,0,0,0.0,0.0,0.0,0,2024_2025
95,Mathias Jensen,Bournemouth,Midfielder,5,0,0,0,0,0.0,0.0,0.0,0,2024_2025
97,Yunus Emre Konak,Bournemouth,Midfielder,5,0,0,0,1,0.0,0.0,0.51,1,2024_2025
98,Keane Lewis-Potter,Bournemouth,Midfielder,5,0,1,0,3,0.02,0.15,3.52,5,2024_2025
